S1;Anna Rossi;4A;anna.rossi@scuola.it;4.6;5
S2;Luca Bianchi;4A;luca.bianchi@scuola.it;5.2;6
S3;Marco Verdi;4B;marco.verdi@scuola.it;6.1;6
S4;Giulia Ferrari;4B;giulia.ferrari@scuola.it;7;6
S5;Sara Romano;5A;sara.romano@scuola.it;5.9;6
S6;Davide Conti;5A;davide.conti@scuola.it;4.8;5
S7;Elena Ricci;5B;elena.ricci@scuola.it;6.7;7
S8;Francesco Greco;5B;francesco.greco@scuola.it;5.5;6
S9;Martina Gallo;3A;martina.gallo@scuola.it;6.3;7
S10;Alessandro Costa;3A;alessandro.costa@scuola.it;4.9;5
S11;Chiara Fontana;3B;chiara.fontana@scuola.it;6.8;7
S12;Matteo Dain;3B;matteo.dain@scuola.it;5.7;6
S13;Federica Barbieri;4A;federica.barbieri@scuola.it;6.2;6
S14;Simone Rinaldi;4A;simone.rinaldi@scuola.it;5.1;6
S15;Valentina Lombardi;4B;valentina.lombardi@scuola.it;7.3;7
S16;Andrea Mariani;4B;andrea.mariani@scuola.it;4.5;5
S17;Silvia Marchetti;5A;silvia.marchetti@scuola.it;6.9;7
S18;Giorgio Pellegrini;5A;giorgio.pellegrini@scuola.it;5.4;5
S19;Irene Villa;5B;irene.villa@scuola.it;6;6
S20;Paolo Ferrara;5B;paolo.ferrara@scuola.it;4.7;5
S21;Claudia Serra;3A;claudia.serra@scuola.it;6.6;7
S22;Daniele Coppola;3A;daniele.coppola@scuola.it;5.3;5
S23;Beatrice De Luca;3B;beatrice.deluca@scuola.it;7.1;7
S24;Matteo Vallebuona;3B;matteo.vallebuona@scuola.it;4.6;5
S25;Alessia Grassi;4A;alessia.grassi@scuola.it;6.4;6
S26;Roberto Testa;4A;roberto.testa@scuola.it;5.2;6
S27;Martina Santoro;4B;martina.santoro@scuola.it;6.9;7
S28;Stefano Caruso;4B;stefano.caruso@scuola.it;4.8;5
S29;Elisa Leone;5A;elisa.leone@scuola.it;7.2;8
S30;Antonio Rizzo;5A;antonio.rizzo@scuola.it;5.6;6
S31;Francesca Longo;5B;francesca.longo@scuola.it;6.3;7
S32;Vincenzo De Santis;5B;vincenzo.desantis@scuola.it;4.9;5
S33;Laura Giordano;3A;laura.giordano@scuola.it;6.7;7
S34;Emanuele Bruno;3A;emanuele.bruno@scuola.it;5.4;6
S35;Gianluca Bruzzi;4A;gianluca.bruzzi@scuola.it;7.5;8
